app_name,app_url,iap_data
Fantastical Calendar,https://apps.apple.com/us/app/fantastical-calendar/id718043190,"[{""name"": ""Flexibits Premium"", ""price"": ""$6.99""}, {""name"": ""Flexibits Premium"", ""price"": ""$56.99""}, {""name"": ""Premium for Families"", ""price"": ""$10.49""}, {""name"": ""Premium (2020 Upgrade)"", ""price"": ""$6.99""}, {""name"": ""Premium (2020 Upgrade)"", ""price"": ""$6.99""}, {""name"": ""Premium for Families"", ""price"": ""$89.99""}, {""name"": ""Premium (2020 Upgrade)"", ""price"": ""$56.99""}, {""name"": ""Premium Family (2020 Upgrade)"", ""price"": ""$10.49""}, {""name"": ""Premium (2020 Upgrade)"", ""price"": ""$56.99""}, {""name"": ""Premium Family (2020 Upgrade)"", ""price"": ""$89.99""}]"
Sleep Cycle - Tracker & Sounds,https://apps.apple.com/us/app/sleep-cycle-tracker-sounds/id320606217,"[{""name"": ""Sleep Cycle Premium"", ""price"": ""$39.99""}, {""name"": ""Sleep Cycle Premium"", ""price"": ""$39.99""}, {""name"": ""Premium"", ""price"": ""$29.99""}, {""name"": ""Premium"", ""price"": ""$9.99""}, {""name"": ""Premium"", ""price"": ""$34.99""}, {""name"": ""Premium"", ""price"": ""$19.99""}, {""name"": ""Sleep Cycle Premium"", ""price"": ""$2.99""}, {""name"": ""Premium: Unlock all features"", ""price"": ""$39.99""}, {""name"": ""Premium"", ""price"": ""$11.99""}, {""name"": ""Premium"", ""price"": ""$4.99""}]"
